codigo,nombre,precio,unidad_medida,descripcion,categoria,familia,coleccion
691,SONIC,43,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
692,PILOTA BARCA PETITA,28,unidad,,ESPORT,MONES 2024,MONES 2024
693,JUGADORS BARCA ALEXIA-AITANA,45,unidad,,ESPORT,MONES 2024,MONES 2024
694,RAQUETA DE PADEL,20,unidad,,ESPORT,MONES 2024,MONES 2024
695,COTXES COLORS,18,unidad,,FIGURES COMPACTES,MONES 2024,MONES 2024
699,PIANO,45,unidad,,ALTRES,MONES 2024,MONES 2024
700,CRUELA,42,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
1000,AVIO GRAN,75,unidad,,VEHICLES,MONES 2024,MONES 2024
1001,ABELLO 100 anys,45,unidad,,ALTRES,MONES 2024,MONES 2024
1002,OU GIRONA,36,unidad,,ESPORT,MONES 2024,MONES 2024
1003,CASTELLERS MOLLET,49,unidad,,ALTRES,MONES 2024,MONES 2024
1004,COET AMB LLUNA,40,unidad,,VEHICLES,MONES 2024,MONES 2024
1005,COTXE GRAN INCREIBLE,70,unidad,,VEHICLES,MONES 2024,MONES 2024
1006,COTXES AMB OU,65,unidad,,VEHICLES,MONES 2024,MONES 2024
1007,GIRAFA GRAN,80,unidad,,ALTRES,MONES 2024,MONES 2024
1009,OSSO,48,unidad,,ALTRES,MONES 2024,MONES 2024
1010,VAIXELL GRAN,95,unidad,,VEHICLES,MONES 2024,MONES 2024
1011,ENCANTO,40,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
1012,GALLINA,55,unidad,,ALTRES,MONES 2024,MONES 2024
1013,AITANA PILOTA OR,70,unidad,,ESPORT,MONES 2024,MONES 2024
1014,PILOTA BARCA AMB ESCUT,36,unidad,,ESPORT,MONES 2024,MONES 2024
1015,BOLA DE DRAC PETIT,38,unidad,,DIBUIXOS TEMPORADA,MONES 2024,MONES 2024
